,prompt,completion
10,"Title: Get Right Witcha
Verse 2: Quavo
Brr, skrr, skrr, skrr, skrr-rr
Pot (Skrr skrr)
Niggas tried to send a thot (Thot)
That's the only way to plot (Plot)
Klay Thomp', corner shot (Brrr)
Eight-ball, corner pocket (Ayy)
White boys in the game (White)
Call 'em Andy Milonakis (Yeah)
He won't hesitate to shoot 'em (Shoot)
Private jet to Bermuda (Woo)
I knew I been had sauce (Who)
'Cause I was fuckin' on my tutor (Who)
Truck backin' up the dually
A hundred pounds out the cooler
Came from a Cup O' Noodles (Ayy)
I fucked the game, Kama Sutra
I got M's on my mind
I got boulders in my time
Put a model bitch on coco
Told her ""Read between the lines"" (Coco)
J's out there snitchin', yeah
Heard it through the vine (J's)
Packin' up the kitchen
Think I ran out of time, yeah

Verse 3: Offset
Woo woo woo woo woo, packs (Packs)
I paid the ticket, get you whacked (Brrr)
I chop the brick with the axe (Hey)
The cookie smellin' like a casket (Cookie)
I'm sellin' crack in my Rafs (Crack)
Put the addy in the nav (addy)
He steady poppin', know it's cap (Cap)
I hit the jungle, then adapt (Rarr)
30 thousand on the couch (30 ball!)
All my bitches from an app (App)
Instagram and the Snaps (Snap)
I bet a hundred on the craps (Craps)
I'm good on shawty, do without (Ooh)
She fucking niggas for the check (Check)
I'ma only get the mouth
Hop out a Lambo, Corsa on a bitch (Skrt)
I poured a four, Actavis (Act)
Walk in Goyard, got a bag for my bitch
Won't give a kiss 'cause I know you suck dick (Mwah)
Spent you a hundred, Philippe on your wrist (Patek)
Twenty-five pointers, one fist (Points)
Twenty-five bitches on list (Twenty-five)
Kel-tec, rubber band grip (Brrr)Verse 1: Takeoff"," (*Drinking*) Act (Act!)
Put the backends in the back (Back)
Draco on me, it's attached
Name a nigga with the pack (Pack)
Name a nigga with the sack (Sack)
Elem' o'clock, I got the MAC (MAC)
She eat the molly like a snack (Eat it up)
This gold on my neck a plaque (Plaque)
Bando Shane's Rib Shack (Eat it up)
Rob the plug if he tax (Tax)
Sip the lean and relax (Drink it up)
Park the Lamb in the back (Skrt, skrt)
Big dog, you a cat (Cat)
Rich in the matte black (Skrt, skrt)
Twenty hoes to be exact (Yeah)
I need ten, that's a dime
Want a nickel, that's a five (Yeah)
One to fly, one to slide
One to glide, ain't got time (Yeah)
Put a thirty on my .9
For a nigga out of line (Yeah)
Mama cryin', niggas dyin'
Wonder why I done gripped the fire, yeah"
11,"Title: Get Right Witcha
Verse 1: Takeoff
(*Drinking*) Act (Act!)
Put the backends in the back (Back)
Draco on me, it's attached
Name a nigga with the pack (Pack)
Name a nigga with the sack (Sack)
Elem' o'clock, I got the MAC (MAC)
She eat the molly like a snack (Eat it up)
This gold on my neck a plaque (Plaque)
Bando Shane's Rib Shack (Eat it up)
Rob the plug if he tax (Tax)
Sip the lean and relax (Drink it up)
Park the Lamb in the back (Skrt, skrt)
Big dog, you a cat (Cat)
Rich in the matte black (Skrt, skrt)
Twenty hoes to be exact (Yeah)
I need ten, that's a dime
Want a nickel, that's a five (Yeah)
One to fly, one to slide
One to glide, ain't got time (Yeah)
Put a thirty on my .9
For a nigga out of line (Yeah)
Mama cryin', niggas dyin'
Wonder why I done gripped the fire, yeah

Verse 3: Offset
Woo woo woo woo woo, packs (Packs)
I paid the ticket, get you whacked (Brrr)
I chop the brick with the axe (Hey)
The cookie smellin' like a casket (Cookie)
I'm sellin' crack in my Rafs (Crack)
Put the addy in the nav (addy)
He steady poppin', know it's cap (Cap)
I hit the jungle, then adapt (Rarr)
30 thousand on the couch (30 ball!)
All my bitches from an app (App)
Instagram and the Snaps (Snap)
I bet a hundred on the craps (Craps)
I'm good on shawty, do without (Ooh)
She fucking niggas for the check (Check)
I'ma only get the mouth
Hop out a Lambo, Corsa on a bitch (Skrt)
I poured a four, Actavis (Act)
Walk in Goyard, got a bag for my bitch
Won't give a kiss 'cause I know you suck dick (Mwah)
Spent you a hundred, Philippe on your wrist (Patek)
Twenty-five pointers, one fist (Points)
Twenty-five bitches on list (Twenty-five)
Kel-tec, rubber band grip (Brrr)Verse 2: Quavo"," Brr, skrr, skrr, skrr, skrr-rr
Pot (Skrr skrr)
Niggas tried to send a thot (Thot)
That's the only way to plot (Plot)
Klay Thomp', corner shot (Brrr)
Eight-ball, corner pocket (Ayy)
White boys in the game (White)
Call 'em Andy Milonakis (Yeah)
He won't hesitate to shoot 'em (Shoot)
Private jet to Bermuda (Woo)
I knew I been had sauce (Who)
'Cause I was fuckin' on my tutor (Who)
Truck backin' up the dually
A hundred pounds out the cooler
Came from a Cup O' Noodles (Ayy)
I fucked the game, Kama Sutra
I got M's on my mind
I got boulders in my time
Put a model bitch on coco
Told her ""Read between the lines"" (Coco)
J's out there snitchin', yeah
Heard it through the vine (J's)
Packin' up the kitchen
Think I ran out of time, yeah"
12,"Title: Get Right Witcha
Verse 1: Takeoff
(*Drinking*) Act (Act!)
Put the backends in the back (Back)
Draco on me, it's attached
Name a nigga with the pack (Pack)
Name a nigga with the sack (Sack)
Elem' o'clock, I got the MAC (MAC)
She eat the molly like a snack (Eat it up)
This gold on my neck a plaque (Plaque)
Bando Shane's Rib Shack (Eat it up)
Rob the plug if he tax (Tax)
Sip the lean and relax (Drink it up)
Park the Lamb in the back (Skrt, skrt)
Big dog, you a cat (Cat)
Rich in the matte black (Skrt, skrt)
Twenty hoes to be exact (Yeah)
I need ten, that's a dime
Want a nickel, that's a five (Yeah)
One to fly, one to slide
One to glide, ain't got time (Yeah)
Put a thirty on my .9
For a nigga out of line (Yeah)
Mama cryin', niggas dyin'
Wonder why I done gripped the fire, yeah

Verse 2: Quavo
Brr, skrr, skrr, skrr, skrr-rr
Pot (Skrr skrr)
Niggas tried to send a thot (Thot)
That's the only way to plot (Plot)
Klay Thomp', corner shot (Brrr)
Eight-ball, corner pocket (Ayy)
White boys in the game (White)
Call 'em Andy Milonakis (Yeah)
He won't hesitate to shoot 'em (Shoot)
Private jet to Bermuda (Woo)
I knew I been had sauce (Who)
'Cause I was fuckin' on my tutor (Who)
Truck backin' up the dually
A hundred pounds out the cooler
Came from a Cup O' Noodles (Ayy)
I fucked the game, Kama Sutra
I got M's on my mind
I got boulders in my time
Put a model bitch on coco
Told her ""Read between the lines"" (Coco)
J's out there snitchin', yeah
Heard it through the vine (J's)
Packin' up the kitchen
Think I ran out of time, yeahVerse 3: Offset"," Woo woo woo woo woo, packs (Packs)
I paid the ticket, get you whacked (Brrr)
I chop the brick with the axe (Hey)
The cookie smellin' like a casket (Cookie)
I'm sellin' crack in my Rafs (Crack)
Put the addy in the nav (addy)
He steady poppin', know it's cap (Cap)
I hit the jungle, then adapt (Rarr)
30 thousand on the couch (30 ball!)
All my bitches from an app (App)
Instagram and the Snaps (Snap)
I bet a hundred on the craps (Craps)
I'm good on shawty, do without (Ooh)
She fucking niggas for the check (Check)
I'ma only get the mouth
Hop out a Lambo, Corsa on a bitch (Skrt)
I poured a four, Actavis (Act)
Walk in Goyard, got a bag for my bitch
Won't give a kiss 'cause I know you suck dick (Mwah)
Spent you a hundred, Philippe on your wrist (Patek)
Twenty-five pointers, one fist (Points)
Twenty-five bitches on list (Twenty-five)
Kel-tec, rubber band grip (Brrr)"
13,"Title: Slippery
Verse 2: Offset
Offset!
Slippery (Slip), she numbin' me, that tongue on me (Eghhh)
Honestly (Honest), she fuck with me, your wife to be (Wife)
In Italy, bought her a fur, look like the wildebeast (Wrarr)
Just chill with me (Chill)
It is no worry, it is a bill to me (It ain't nothin')
I pull up Diablo, I pull up with models
I gave her her first Philippe (Philippe)
We goin' full throttle, she swallowed the bottle
I'm all in her ovaries (Eghhh)
I gave her some dollars
I Gucci'd her collar, now she can't get over me (Hey)
She want a dose of me (Dose)
Just hop in the Ghost with me (Ghost)
Perky and molly, don't vote for nobody
These bitch ass niggas ain't solid (Solid)
Run in your house and with pumps and the shotties
Your mama might be up inside it (Bah)
Cars robotic, bad bitch with a body
But really don't care nothing about it (Uh-uh)
Cappin' and poppin', I seen that lil' Masi
I coulda pulled up and just shot ya (Brrt)
It's a jungle, I let 'em survive (Survive)

Verse 3: Gucci Mane
I rock water, diamonds, I'm drippin' but not slippin'
I threw a quarter (Well damn), but nawl, I'm not trippin'
Bugatti on Forgis, and nawl, I'm not Crippin'
I buy Ferraris like Jordans, I'm Mike and y'all Pippen
Chillin', just me and my millions
Niggas, they all in they feelings
My bitches, I spoil them like they chillens
So persistent, if I want it, I go get it
I'm so slimy, grimy, sheisty but still shinin'
Rude and unkindly, cruel with no conscience
Drop the top on College, nigga, I ain't with no-nonsense
And I'm a murderer, nigga, but I don't promote violence

Verse 4: Takeoff
Deadshot (Brrt), AK make your head rock (Brrt)
Red dot (Pew-pew), retro Air Jord' deadstock (-stock)
Lean on rocks (Act), Perkys, Mollies, Xannies, Rocks (Roxies)
Oxycontin (Oxyies), Takeoff, I'm your med doc (Takeoff!)
Leg lock (Leg), the key I got unlock the box (Box)
What's in that box (Huh?) Don't tell 'em, they might show the cops (Shh)
Wristwatch (Bite), abnormal so I flood the clock (Ice)
Money flop, panties drop, that's when them titties pop (Woo)
Free my partners (John Wick)
'Til they free it's fuck the cops (Fuck 'em)
They know I geek a lot
They don't know I keep a Glock (Clueless)
Ain't been no drought (Where)
They think I been sleep a lot
They think I'm dumb (Dumb)
They don't know I see the plot (See it)
Fuck it I seize a knotVerse 1: Quavo"," Tater tot, fuck niggas on my radar watch (Watchin')
Crocodile hunter, turn 'em to some gator shots (Urr)
Iced out watch (Ice), ridin' round, ten o'clock (Ten)
Ridin' round, geeked up, damn, think it's three o'clock (Three)
Four o'clock (Four), five o'clock, six o'clock (Five)
I'm gon' pop, if I don't, I'm back to the pot (Whip)
I got rocks (Rocks), big bales, big arms
Tommy gun (Prr), come out and play, let's have fun (Yeah)
Big scales (Scales), fish scale, big weight (Fish)
Iceberg (Ice), ice tray, ice tray (Woo)
Plug called (Called), tried to front, I don't need it (Brrt)
I don't need it (Brrt), pockets strong, wrist anemic (Strong)
Get freezy (Freezy), young nigga pay your debt-is (Debt-is)
Grandma (Grandma), auntie Ab and auntie Neesa (Neesa)
Uncle Bo (Bo), auntie Greta serve ya Perkys (Greta)
Auntie Eva (Eva), if she got a pound, she might just serve it (Serve)"
14,"Title: Slippery
Verse 1: Quavo
Tater tot, fuck niggas on my radar watch (Watchin')
Crocodile hunter, turn 'em to some gator shots (Urr)
Iced out watch (Ice), ridin' round, ten o'clock (Ten)
Ridin' round, geeked up, damn, think it's three o'clock (Three)
Four o'clock (Four), five o'clock, six o'clock (Five)
I'm gon' pop, if I don't, I'm back to the pot (Whip)
I got rocks (Rocks), big bales, big arms
Tommy gun (Prr), come out and play, let's have fun (Yeah)
Big scales (Scales), fish scale, big weight (Fish)
Iceberg (Ice), ice tray, ice tray (Woo)
Plug called (Called), tried to front, I don't need it (Brrt)
I don't need it (Brrt), pockets strong, wrist anemic (Strong)
Get freezy (Freezy), young nigga pay your debt-is (Debt-is)
Grandma (Grandma), auntie Ab and auntie Neesa (Neesa)
Uncle Bo (Bo), auntie Greta serve ya Perkys (Greta)
Auntie Eva (Eva), if she got a pound, she might just serve it (Serve)

Verse 3: Gucci Mane
I rock water, diamonds, I'm drippin' but not slippin'
I threw a quarter (Well damn), but nawl, I'm not trippin'
Bugatti on Forgis, and nawl, I'm not Crippin'
I buy Ferraris like Jordans, I'm Mike and y'all Pippen
Chillin', just me and my millions
Niggas, they all in they feelings
My bitches, I spoil them like they chillens
So persistent, if I want it, I go get it
I'm so slimy, grimy, sheisty but still shinin'
Rude and unkindly, cruel with no conscience
Drop the top on College, nigga, I ain't with no-nonsense
And I'm a murderer, nigga, but I don't promote violence

Verse 4: Takeoff
Deadshot (Brrt), AK make your head rock (Brrt)
Red dot (Pew-pew), retro Air Jord' deadstock (-stock)
Lean on rocks (Act), Perkys, Mollies, Xannies, Rocks (Roxies)
Oxycontin (Oxyies), Takeoff, I'm your med doc (Takeoff!)
Leg lock (Leg), the key I got unlock the box (Box)
What's in that box (Huh?) Don't tell 'em, they might show the cops (Shh)
Wristwatch (Bite), abnormal so I flood the clock (Ice)
Money flop, panties drop, that's when them titties pop (Woo)
Free my partners (John Wick)
'Til they free it's fuck the cops (Fuck 'em)
They know I geek a lot
They don't know I keep a Glock (Clueless)
Ain't been no drought (Where)
They think I been sleep a lot
They think I'm dumb (Dumb)
They don't know I see the plot (See it)
Fuck it I seize a knotVerse 2: Offset"," Offset!
Slippery (Slip), she numbin' me, that tongue on me (Eghhh)
Honestly (Honest), she fuck with me, your wife to be (Wife)
In Italy, bought her a fur, look like the wildebeast (Wrarr)
Just chill with me (Chill)
It is no worry, it is a bill to me (It ain't nothin')
I pull up Diablo, I pull up with models
I gave her her first Philippe (Philippe)
We goin' full throttle, she swallowed the bottle
I'm all in her ovaries (Eghhh)
I gave her some dollars
I Gucci'd her collar, now she can't get over me (Hey)
She want a dose of me (Dose)
Just hop in the Ghost with me (Ghost)
Perky and molly, don't vote for nobody
These bitch ass niggas ain't solid (Solid)
Run in your house and with pumps and the shotties
Your mama might be up inside it (Bah)
Cars robotic, bad bitch with a body
But really don't care nothing about it (Uh-uh)
Cappin' and poppin', I seen that lil' Masi
I coulda pulled up and just shot ya (Brrt)
It's a jungle, I let 'em survive (Survive)"
15,"Title: Slippery
Verse 1: Quavo
Tater tot, fuck niggas on my radar watch (Watchin')
Crocodile hunter, turn 'em to some gator shots (Urr)
Iced out watch (Ice), ridin' round, ten o'clock (Ten)
Ridin' round, geeked up, damn, think it's three o'clock (Three)
Four o'clock (Four), five o'clock, six o'clock (Five)
I'm gon' pop, if I don't, I'm back to the pot (Whip)
I got rocks (Rocks), big bales, big arms
Tommy gun (Prr), come out and play, let's have fun (Yeah)
Big scales (Scales), fish scale, big weight (Fish)
Iceberg (Ice), ice tray, ice tray (Woo)
Plug called (Called), tried to front, I don't need it (Brrt)
I don't need it (Brrt), pockets strong, wrist anemic (Strong)
Get freezy (Freezy), young nigga pay your debt-is (Debt-is)
Grandma (Grandma), auntie Ab and auntie Neesa (Neesa)
Uncle Bo (Bo), auntie Greta serve ya Perkys (Greta)
Auntie Eva (Eva), if she got a pound, she might just serve it (Serve)

Verse 2: Offset
Offset!
Slippery (Slip), she numbin' me, that tongue on me (Eghhh)
Honestly (Honest), she fuck with me, your wife to be (Wife)
In Italy, bought her a fur, look like the wildebeast (Wrarr)
Just chill with me (Chill)
It is no worry, it is a bill to me (It ain't nothin')
I pull up Diablo, I pull up with models
I gave her her first Philippe (Philippe)
We goin' full throttle, she swallowed the bottle
I'm all in her ovaries (Eghhh)
I gave her some dollars
I Gucci'd her collar, now she can't get over me (Hey)
She want a dose of me (Dose)
Just hop in the Ghost with me (Ghost)
Perky and molly, don't vote for nobody
These bitch ass niggas ain't solid (Solid)
Run in your house and with pumps and the shotties
Your mama might be up inside it (Bah)
Cars robotic, bad bitch with a body
But really don't care nothing about it (Uh-uh)
Cappin' and poppin', I seen that lil' Masi
I coulda pulled up and just shot ya (Brrt)
It's a jungle, I let 'em survive (Survive)

Verse 4: Takeoff
Deadshot (Brrt), AK make your head rock (Brrt)
Red dot (Pew-pew), retro Air Jord' deadstock (-stock)
Lean on rocks (Act), Perkys, Mollies, Xannies, Rocks (Roxies)
Oxycontin (Oxyies), Takeoff, I'm your med doc (Takeoff!)
Leg lock (Leg), the key I got unlock the box (Box)
What's in that box (Huh?) Don't tell 'em, they might show the cops (Shh)
Wristwatch (Bite), abnormal so I flood the clock (Ice)
Money flop, panties drop, that's when them titties pop (Woo)
Free my partners (John Wick)
'Til they free it's fuck the cops (Fuck 'em)
They know I geek a lot
They don't know I keep a Glock (Clueless)
Ain't been no drought (Where)
They think I been sleep a lot
They think I'm dumb (Dumb)
They don't know I see the plot (See it)
Fuck it I seize a knotVerse 3: Gucci Mane"," I rock water, diamonds, I'm drippin' but not slippin'
I threw a quarter (Well damn), but nawl, I'm not trippin'
Bugatti on Forgis, and nawl, I'm not Crippin'
I buy Ferraris like Jordans, I'm Mike and y'all Pippen
Chillin', just me and my millions
Niggas, they all in they feelings
My bitches, I spoil them like they chillens
So persistent, if I want it, I go get it
I'm so slimy, grimy, sheisty but still shinin'
Rude and unkindly, cruel with no conscience
Drop the top on College, nigga, I ain't with no-nonsense
And I'm a murderer, nigga, but I don't promote violence"
16,"Title: Slippery
Verse 1: Quavo
Tater tot, fuck niggas on my radar watch (Watchin')
Crocodile hunter, turn 'em to some gator shots (Urr)
Iced out watch (Ice), ridin' round, ten o'clock (Ten)
Ridin' round, geeked up, damn, think it's three o'clock (Three)
Four o'clock (Four), five o'clock, six o'clock (Five)
I'm gon' pop, if I don't, I'm back to the pot (Whip)
I got rocks (Rocks), big bales, big arms
Tommy gun (Prr), come out and play, let's have fun (Yeah)
Big scales (Scales), fish scale, big weight (Fish)
Iceberg (Ice), ice tray, ice tray (Woo)
Plug called (Called), tried to front, I don't need it (Brrt)
I don't need it (Brrt), pockets strong, wrist anemic (Strong)
Get freezy (Freezy), young nigga pay your debt-is (Debt-is)
Grandma (Grandma), auntie Ab and auntie Neesa (Neesa)
Uncle Bo (Bo), auntie Greta serve ya Perkys (Greta)
Auntie Eva (Eva), if she got a pound, she might just serve it (Serve)

Verse 2: Offset
Offset!
Slippery (Slip), she numbin' me, that tongue on me (Eghhh)
Honestly (Honest), she fuck with me, your wife to be (Wife)
In Italy, bought her a fur, look like the wildebeast (Wrarr)
Just chill with me (Chill)
It is no worry, it is a bill to me (It ain't nothin')
I pull up Diablo, I pull up with models
I gave her her first Philippe (Philippe)
We goin' full throttle, she swallowed the bottle
I'm all in her ovaries (Eghhh)
I gave her some dollars
I Gucci'd her collar, now she can't get over me (Hey)
She want a dose of me (Dose)
Just hop in the Ghost with me (Ghost)
Perky and molly, don't vote for nobody
These bitch ass niggas ain't solid (Solid)
Run in your house and with pumps and the shotties
Your mama might be up inside it (Bah)
Cars robotic, bad bitch with a body
But really don't care nothing about it (Uh-uh)
Cappin' and poppin', I seen that lil' Masi
I coulda pulled up and just shot ya (Brrt)
It's a jungle, I let 'em survive (Survive)

Verse 3: Gucci Mane
I rock water, diamonds, I'm drippin' but not slippin'
I threw a quarter (Well damn), but nawl, I'm not trippin'
Bugatti on Forgis, and nawl, I'm not Crippin'
I buy Ferraris like Jordans, I'm Mike and y'all Pippen
Chillin', just me and my millions
Niggas, they all in they feelings
My bitches, I spoil them like they chillens
So persistent, if I want it, I go get it
I'm so slimy, grimy, sheisty but still shinin'
Rude and unkindly, cruel with no conscience
Drop the top on College, nigga, I ain't with no-nonsense
And I'm a murderer, nigga, but I don't promote violenceVerse 4: Takeoff"," Deadshot (Brrt), AK make your head rock (Brrt)
Red dot (Pew-pew), retro Air Jord' deadstock (-stock)
Lean on rocks (Act), Perkys, Mollies, Xannies, Rocks (Roxies)
Oxycontin (Oxyies), Takeoff, I'm your med doc (Takeoff!)
Leg lock (Leg), the key I got unlock the box (Box)
What's in that box (Huh?) Don't tell 'em, they might show the cops (Shh)
Wristwatch (Bite), abnormal so I flood the clock (Ice)
Money flop, panties drop, that's when them titties pop (Woo)
Free my partners (John Wick)
'Til they free it's fuck the cops (Fuck 'em)
They know I geek a lot
They don't know I keep a Glock (Clueless)
Ain't been no drought (Where)
They think I been sleep a lot
They think I'm dumb (Dumb)
They don't know I see the plot (See it)
Fuck it I seize a knot"
17,"Title: Big on Big
Verse 1: Takeoff"," How you gon' big on big?
How you go Sig on Driz?
How you pour one up the seal?
How you gon' do what I did?
Niggas don't know how it feel
How you gon' say you is real?
Nigga lyin' sayin' he havin' Act' seal
But we both know that ain't real
Nigga lyin' 'bout a quarter mill
He ain't touch it or know how it feel
Nigga talkin' 'bout they independent
Turned around and 360 the deal
Nigga walkin' 'round with 30s on them
But they know they ain't ready to kill
All my niggas havin' cookie bags
Vacuum sealed and ready to sell
M&M in the mail, I done took a lot of L's
Hundred niggas with the shells, goin' big, whale
Pullin' out V12, pickin' up a plate at Kelz"
18,"Title: What's the Price
Verse 2: Offset"," I do not care what the tag will say (I don't)
I done brought out a big bag today (Bag)
I just pulled up with the MAC today (Brrt)
I don't plan on going out sad today (Brrt)
Pay what you owe, eighty a show (Eighty)
Close the curtain and smoke in the Ghost (Gas)
Hop in the i8 and lift up the door (Skrrt)
Young rich nigga, more money than the old (Hey)
Got your ho at the condo, no clothes, yeah (No)
Climb on a young nigga pole, yeah
You don't wanna go there (Nah)
Sticks and the Dracos in here (Brrt)
Got racks in the back of my pants (Racks)
Got racks in the bachelor pad (Racks)
These bitches, they fuck for a bag (Smash)
And you niggas gon' go out sad"
19,"Title: Brown Paper Bag
Verse 2: Quavo
Quavo
I put your bitch on Henny, on Henny and Coca (Coca)
You saying your wrist is rocky, well I got some boulders (Rocky Balboa)
Ice on my neck, cold shoulder (Ice)
You talkin' 'bout modern day rap, but don't know the CULTURE
50 bands in the motor (Bands)
12 can't pull me over (Skrr)
Snowball, think it's polar
Hotline, Motorola (Brrrt)
Fancy bitches, go get the bag, the baddest bitches (Bad)
Age of 23, I was in the magazine, the Forbes edition (Forbes)
Brown paper bag (Oh)
When you get it make sure you count your racks (Racks, racks, woo)

Verse 3: Takeoff
Brown paper bag (Bag)
Wad full of cash (Cash)
Paparazzi flash
Jeweler gave me glass (Splash)
Never look back at my past
Sip slow and live fast (Actavis)
I ended up in first place but I swore a nigga started last (I swear)
I was born empty-handed but a nigga knew I had to get a bag (Knew it)
I was raised by my mama, so a nigga never really had a dad (Never)
Remember that lick we had hit? (Yup)
Broke in and we found the stash (Okay)
20K right by the stand (20k)
Wrapped up in a brown paper bag (Ah man)
That wasn't part of the plan (Had to)
Take out the tape from the cam (Here)
No evidence on who I am (Nah)
'Cause I can't afford to get jammed (Uh-uh)
Cuffin' bitches, I don't stand 'em (Nobody)
All my bitches, yeah, I share 'em (Bitch)
Fuck 'em, but you gotta pay 'em (Pay up)
Break the bread up with the famVerse 1: Offset"," Offset!
I'm 'bout to sign your bitch (Sign her)
Let me remind ya bitch (Remind ya)
I am a walkin' lick (Lick)
But I am with the shits (I'm with it)
Click, click, click, click, shoot and I sprung my wrist (Blah)
Money is over a bitch (Money)
Go to the mall in a Bentley (Wrrr)
Money is bigger than Winfrey's
Sippin' codeine out a Simply's
I do not fuck with the enemy (No!)
30,000 to the dentist
Drums, thirty extensions (30)
We pull up where we got no (Bidness)
We fuckin' these stars for fitness
Bankrolls are large, you feel me? (Large)
I'ma go get me a bag (Bag)
They gon' be bitter and mad (Mad)
They already know it's a fact (They know)
Go to the show with a gat"
20,"Title: Brown Paper Bag
Verse 1: Offset
Offset!
I'm 'bout to sign your bitch (Sign her)
Let me remind ya bitch (Remind ya)
I am a walkin' lick (Lick)
But I am with the shits (I'm with it)
Click, click, click, click, shoot and I sprung my wrist (Blah)
Money is over a bitch (Money)
Go to the mall in a Bentley (Wrrr)
Money is bigger than Winfrey's
Sippin' codeine out a Simply's
I do not fuck with the enemy (No!)
30,000 to the dentist
Drums, thirty extensions (30)
We pull up where we got no (Bidness)
We fuckin' these stars for fitness
Bankrolls are large, you feel me? (Large)
I'ma go get me a bag (Bag)
They gon' be bitter and mad (Mad)
They already know it's a fact (They know)
Go to the show with a gat

Verse 3: Takeoff
Brown paper bag (Bag)
Wad full of cash (Cash)
Paparazzi flash
Jeweler gave me glass (Splash)
Never look back at my past
Sip slow and live fast (Actavis)
I ended up in first place but I swore a nigga started last (I swear)
I was born empty-handed but a nigga knew I had to get a bag (Knew it)
I was raised by my mama, so a nigga never really had a dad (Never)
Remember that lick we had hit? (Yup)
Broke in and we found the stash (Okay)
20K right by the stand (20k)
Wrapped up in a brown paper bag (Ah man)
That wasn't part of the plan (Had to)
Take out the tape from the cam (Here)
No evidence on who I am (Nah)
'Cause I can't afford to get jammed (Uh-uh)
Cuffin' bitches, I don't stand 'em (Nobody)
All my bitches, yeah, I share 'em (Bitch)
Fuck 'em, but you gotta pay 'em (Pay up)
Break the bread up with the famVerse 2: Quavo"," Quavo
I put your bitch on Henny, on Henny and Coca (Coca)
You saying your wrist is rocky, well I got some boulders (Rocky Balboa)
Ice on my neck, cold shoulder (Ice)
You talkin' 'bout modern day rap, but don't know the CULTURE
50 bands in the motor (Bands)
12 can't pull me over (Skrr)
Snowball, think it's polar
Hotline, Motorola (Brrrt)
Fancy bitches, go get the bag, the baddest bitches (Bad)
Age of 23, I was in the magazine, the Forbes edition (Forbes)
Brown paper bag (Oh)
When you get it make sure you count your racks (Racks, racks, woo)"
21,"Title: Brown Paper Bag
Verse 1: Offset
Offset!
I'm 'bout to sign your bitch (Sign her)
Let me remind ya bitch (Remind ya)
I am a walkin' lick (Lick)
But I am with the shits (I'm with it)
Click, click, click, click, shoot and I sprung my wrist (Blah)
Money is over a bitch (Money)
Go to the mall in a Bentley (Wrrr)
Money is bigger than Winfrey's
Sippin' codeine out a Simply's
I do not fuck with the enemy (No!)
30,000 to the dentist
Drums, thirty extensions (30)
We pull up where we got no (Bidness)
We fuckin' these stars for fitness
Bankrolls are large, you feel me? (Large)
I'ma go get me a bag (Bag)
They gon' be bitter and mad (Mad)
They already know it's a fact (They know)
Go to the show with a gat

Verse 2: Quavo
Quavo
I put your bitch on Henny, on Henny and Coca (Coca)
You saying your wrist is rocky, well I got some boulders (Rocky Balboa)
Ice on my neck, cold shoulder (Ice)
You talkin' 'bout modern day rap, but don't know the CULTURE
50 bands in the motor (Bands)
12 can't pull me over (Skrr)
Snowball, think it's polar
Hotline, Motorola (Brrrt)
Fancy bitches, go get the bag, the baddest bitches (Bad)
Age of 23, I was in the magazine, the Forbes edition (Forbes)
Brown paper bag (Oh)
When you get it make sure you count your racks (Racks, racks, woo)Verse 3: Takeoff"," Brown paper bag (Bag)
Wad full of cash (Cash)
Paparazzi flash
Jeweler gave me glass (Splash)
Never look back at my past
Sip slow and live fast (Actavis)
I ended up in first place but I swore a nigga started last (I swear)
I was born empty-handed but a nigga knew I had to get a bag (Knew it)
I was raised by my mama, so a nigga never really had a dad (Never)
Remember that lick we had hit? (Yup)
Broke in and we found the stash (Okay)
20K right by the stand (20k)
Wrapped up in a brown paper bag (Ah man)
That wasn't part of the plan (Had to)
Take out the tape from the cam (Here)
No evidence on who I am (Nah)
'Cause I can't afford to get jammed (Uh-uh)
Cuffin' bitches, I don't stand 'em (Nobody)
All my bitches, yeah, I share 'em (Bitch)
Fuck 'em, but you gotta pay 'em (Pay up)
Break the bread up with the fam"
22,"Title: Deadz
Verse 4: Offset"," Droppin' them bangers, bangers, bangers
Double cup stuffed full Texas Ranger
One in the chamber
I shoot a hundred round clip like Wilt Chamberlain
Go to the top and I'm gon' bring the gang in
Bitch, do anything to get famous
My wrist cost me a brick and it's frigid
I'm rich, but I did not let it change me
Statistics say that you niggas ain't gangsta"
